Property_ID,Listing_price,Data_Source,Locality,Property_Type,Built_up_area_sqfeet,Total_area_sqft,BHK,Age_of_Property,Facing_direction,Nearby_Schools,Nearby_Hospitals,Nearby_Markets,Crime_Rate_Area,Road_Connectivity,Future_Projects,Registry_Rate_per_sqft,Market_Rate_per_sqft,Last_Registry_Year,Owner_Type,Latitude,Longitude
PV0162,2600709,SYN,Annapurna,Plot,1177,1177,0,0-5 years,East,Yes,No,No,High,Poor,Yes,2261,2421,2021,Dealer,22.683072,75.862973
PV0163,6612981,SYN,Super Corridor,Apartment,2751,2751,4,20+ years,South-West,Yes,No,Yes,Low,Average,Yes,2467,2742,1992,Owner,22.788027,75.904301
PV0164,3943541,SYN,Super Corridor,Builder Floor,1356,1356,3,5-10 years,North-West,Yes,No,Yes,Medium,Good,Yes,2391,2801,2017,Dealer,22.790468,75.902331
PV0165,2901866,SYN,Rajendra Nagar,Builder Floor,1033,1033,2,20+ years,East,No,Yes,Yes,Medium,Excellent,No,2639,3282,1993,Owner,22.705283,75.868331
PV0166,3725359,SYN,Scheme 54,Apartment,1068,1068,2,5-10 years,East,Yes,Yes,Yes,Medium,Average,No,2975,3620,2017,Owner,22.728611,75.873389
PV0167,11909276,SYN,Palasia,Independent House,1814,1814,3,5-10 years,North-East,Yes,No,Yes,Low,Excellent,No,3556,5443,2019,Dealer,22.726626,75.884703
PV0168,4854014,SYN,Bhawarkuan,Independent House,1658,1658,3,20+ years,South,Yes,No,Yes,Medium,Good,Yes,2461,3120,2001,Dealer,22.692228,75.839185
PV0169,3277218,SYN,Rajendra Nagar,Villa,1052,1052,1,10-20 years,South,Yes,No,Yes,Medium,Good,Yes,2665,3268,2014,Owner,22.705777,75.868045
PV0170,4484942,SYN,Niranjanpur,Apartment,1230,1230,3,0-5 years,South,No,No,Yes,Medium,Average,No,2525,3076,2020,Dealer,22.757099,75.912824
PV0171,9859333,SYN,Nipania,Apartment,2673,2673,4,0-5 years,South-West,Yes,No,No,Low,Average,No,2713,3451,2023,Owner,22.755544,75.919411
PV0172,2389113,SYN,Sudama Nagar,Apartment,953,953,2,10-20 years,North-East,No,No,No,High,Average,Yes,2193,2394,2014,Owner,22.689342,75.836527
PV0173,9497162,SYN,Palasia,Apartment,1493,1493,3,0-5 years,South,Yes,Yes,Yes,Low,Good,No,3408,5265,2021,Dealer,22.72746,75.881132
PV0174,5010028,SYN,Rajendra Nagar,Apartment,1326,1326,3,0-5 years,East,Yes,Yes,No,Low,Excellent,No,2587,3349,2024,Owner,22.705559,75.862721
PV0175,10845951,SYN,AB Road,Independent House,1900,1900,3,0-5 years,East,Yes,No,Yes,Low,Excellent,No,3024,4370,2022,Owner,22.721814,75.914634
PV0176,3047580,SYN,Kanadiya,Builder Floor,1372,1372,3,5-10 years,South-East,No,No,Yes,High,Average,No,1997,2372,2016,Owner,22.803985,75.894805
PV0177,11130633,SYN,Vijay Nagar,Villa,2045,2045,3,0-5 years,South-West,Yes,Yes,Yes,Medium,Average,No,3159,4049,2020,Dealer,22.742912,75.901872
PV0178,2726533,SYN,Rau,Apartment,1464,1464,3,5-10 years,East,No,Yes,No,Medium,Average,Yes,1792,1813,2015,Owner,22.64838,75.808267
PV0179,4419372,SYN,Bicholi Mardana,Apartment,1794,1794,4,10-20 years,North-West,No,No,Yes,Medium,Average,No,2251,2576,2012,Owner,22.780613,75.930915
PV0180,3378221,SYN,Tilak Nagar,Apartment,1229,1229,3,10-20 years,West,Yes,No,No,Medium,Average,Yes,2375,2741,2014,Dealer,22.723218,75.862807
PV0181,3109848,SYN,Banganga,Apartment,1152,1152,3,0-5 years,North-East,Yes,No,No,Low,Poor,Yes,2137,2425,2023,Dealer,22.70951,75.829292
PV0182,7715459,SYN,Pipliyahana,Apartment,2305,2305,4,0-5 years,East,Yes,No,No,High,Average,No,2457,2779,2023,Owner,22.697426,75.921361
PV0183,5421021,SYN,AB Road,Apartment,1103,1103,2,0-5 years,East,Yes,Yes,No,Low,Good,No,3055,4367,2021,Dealer,22.722032,75.91527
PV0184,1894115,SYN,Sudama Nagar,Independent House,641,641,1,5-10 years,North,No,No,No,Medium,Average,No,2145,2484,2019,Dealer,22.687336,75.837475
PV0185,5310047,SYN,LIG Colony,Independent House,1833,1833,3,0-5 years,East,No,Yes,No,Medium,Poor,Yes,2228,2434,2024,Dealer,22.727476,75.848566
PV0186,3566242,SYN,Scheme 54,Apartment,795,795,2,0-5 years,North-East,Yes,No,Yes,Low,Average,No,2881,3935,2022,Dealer,22.728408,75.870176
PV0187,3023573,SYN,Tilak Nagar,Apartment,1010,1010,2,0-5 years,East,Yes,No,Yes,Medium,Excellent,No,2456,2523,2023,Owner,22.721977,75.866647
PV0188,2765892,SYN,Bicholi Mardana,Apartment,978,978,2,0-5 years,East,No,Yes,No,Medium,Average,No,2237,2359,2023,Owner,22.782752,75.927437
PV0189,4063018,SYN,Mahalaxmi Nagar,Independent House,1703,1703,3,20+ years,East,No,Yes,Yes,Low,Poor,No,2438,3039,2001,Owner,22.713361,75.857064
PV0190,3872101,SYN,Annapurna,Builder Floor,1201,1201,3,0-5 years,North-East,No,Yes,Yes,High,Good,No,2343,2595,2020,Dealer,22.685117,75.866019
PV0191,3797214,SYN,Niranjanpur,Apartment,1258,1258,3,10-20 years,East,Yes,Yes,Yes,Medium,Good,Yes,2629,3251,2007,Dealer,22.758115,75.91869
PV0192,4940924,SYN,Mahalaxmi Nagar,Apartment,1472,1472,3,5-10 years,West,Yes,Yes,Yes,Medium,Excellent,No,2533,2977,2017,Dealer,22.709655,75.85701
PV0193,9356140,SYN,Aerodrome Road,Independent House,2195,2195,3,0-5 years,East,No,No,Yes,Medium,Excellent,No,2786,3718,2023,Owner,22.724272,75.804518
PV0194,3874676,SYN,Tilak Nagar,Apartment,1324,1324,3,0-5 years,North,Yes,No,No,Medium,Poor,Yes,2358,2630,2023,Owner,22.723126,75.867363
PV0195,4609604,SYN,Tilak Nagar,Apartment,1554,1554,3,0-5 years,North,Yes,Yes,No,Medium,Good,Yes,2457,2555,2021,Dealer,22.721464,75.86418
PV0196,6280062,SYN,Scheme 54,Apartment,1481,1481,3,0-5 years,West,Yes,Yes,Yes,Low,Good,Yes,2908,3484,2023,Dealer,22.728634,75.873444
PV0197,2601710,SYN,Kanadiya,Builder Floor,1064,1064,2,0-5 years,South,Yes,Yes,No,High,Good,Yes,2015,2059,2024,Dealer,22.804349,75.893082
PV0198,14209039,SYN,AB Road,Villa,2657,2657,3,0-5 years,West,No,Yes,Yes,Medium,Good,No,3182,4171,2024,Dealer,22.717888,75.909564
PV0199,1931072,SYN,Silicon City,Builder Floor,653,653,1,5-10 years,North-East,No,No,Yes,High,Good,No,2353,2778,2019,Dealer,22.741423,75.881493
PV0200,2753313,SYN,Pardesipura,Builder Floor,887,887,2,0-5 years,East,Yes,No,Yes,Low,Good,No,2289,2855,2024,Owner,22.762392,75.874741
PV0201,8625995,SYN,Nipania,Independent House,2033,2033,3,0-5 years,South,Yes,No,No,Medium,Average,No,2670,3483,2024,Dealer,22.751653,75.918985
PV0202,9909927,SYN,Palasia,Independent House,1493,1493,2,0-5 years,North-East,Yes,Yes,Yes,Low,Excellent,No,3577,5347,2024,Dealer,22.72591,75.883204
PV0203,6173314,SYN,Scheme 54,Apartment,1392,1392,3,0-5 years,North,Yes,Yes,No,Low,Excellent,No,2950,4045,2022,Dealer,22.732281,75.86973
PV0204,5252283,SYN,Pipliyahana,Apartment,1628,1628,3,5-10 years,East,Yes,No,Yes,Medium,Good,No,2443,3100,2019,Dealer,22.696972,75.918564
PV0205,8122446,SYN,Palasia,Apartment,1738,1738,4,10-20 years,North-West,Yes,Yes,Yes,Low,Good,No,3476,4801,2013,Dealer,22.727843,75.887409
PV0206,13740346,SYN,Vijay Nagar,Villa,2368,2368,3,0-5 years,West,Yes,Yes,No,Low,Excellent,No,3293,4907,2023,Owner,22.743974,75.905599
PV0207,3725631,SYN,Scheme 54,Apartment,910,910,2,10-20 years,East,Yes,Yes,Yes,Low,Excellent,Yes,2892,4170,2013,Owner,22.731751,75.870641
PV0208,3039946,SYN,LIG Colony,Independent House,1200,1200,2,10-20 years,East,No,No,Yes,Low,Excellent,Yes,2248,2248,2011,Dealer,22.727522,75.852987
PV0209,3665337,SYN,Bhawarkuan,Apartment,1037,1037,2,0-5 years,East,Yes,Yes,Yes,Low,Good,Yes,2550,3271,2021,Owner,22.695039,75.839733
PV0210,9721707,SYN,Niranjanpur,Villa,2454,2454,3,0-5 years,North,No,Yes,No,Low,Good,No,2532,3133,2022,Dealer,22.763666,75.913107
PV0211,2283425,SYN,Bicholi Hapsi,Builder Floor,1005,1005,2,5-10 years,East,Yes,Yes,No,Medium,Poor,Yes,2104,2298,2016,Owner,22.788169,75.943251
PV0212,10049982,SYN,Palasia,Apartment,1477,1477,3,0-5 years,East,Yes,Yes,Yes,Low,Excellent,Yes,3442,5308,2020,Dealer,22.724197,75.883057
PV0213,4524572,SYN,Scheme 54,Apartment,861,861,2,0-5 years,North,Yes,No,Yes,Low,Poor,No,2938,4292,2021,Dealer,22.730791,75.86872
PV0214,12657060,SYN,Palasia,Independent House,2104,2104,3,5-10 years,South-East,Yes,No,Yes,Medium,Good,No,3423,5446,2019,Owner,22.723077,75.885454
PV0215,5772876,SYN,Palasia,Apartment,1013,1013,2,5-10 years,South,Yes,Yes,Yes,Low,Average,No,3441,5237,2018,Dealer,22.722674,75.882416
PV0216,9776852,SYN,Vijay Nagar,Villa,1617,1617,2,0-5 years,East,Yes,Yes,Yes,Medium,Good,Yes,3228,4500,2024,Owner,22.747748,75.902666
PV0217,3744257,SYN,Niranjanpur,Apartment,1419,1419,3,10-20 years,East,Yes,Yes,No,Medium,Average,No,2539,2867,2007,Dealer,22.757652,75.914653
PV0218,10629482,SYN,AB Road,Villa,2176,2176,3,0-5 years,West,Yes,Yes,Yes,Medium,Good,Yes,3059,3783,2024,Dealer,22.724184,75.909347
PV0219,7448221,SYN,Aerodrome Road,Apartment,2068,2068,4,5-10 years,West,Yes,Yes,Yes,Low,Poor,No,2759,3263,2019,Owner,22.71889,75.804063
PV0220,3072003,SYN,Rau,Independent House,1237,1237,2,0-5 years,South-West,Yes,No,Yes,Medium,Poor,No,1845,1986,2023,Dealer,22.653405,75.808856
PV0221,3145231,SYN,Rau,Apartment,1440,1440,3,0-5 years,East,No,No,No,Low,Poor,Yes,1770,1835,2022,Owner,22.651377,75.813343
PV0222,13350736,SYN,Palasia,Apartment,2479,2479,4,5-10 years,South-East,Yes,Yes,Yes,Low,Good,No,3500,4941,2016,Owner,22.727673,75.880793
PV0223,2042230,SYN,Banganga,Independent House,780,780,1,0-5 years,North,Yes,No,No,Low,Good,No,2129,2144,2024,Owner,22.714702,75.828075
PV0224,8410960,SYN,Nipania,Independent House,2047,2047,3,0-5 years,West,Yes,Yes,Yes,High,Good,No,2767,3260,2022,Owner,22.751456,75.917771
PV0225,8586113,SYN,Palasia,Apartment,1481,1481,3,0-5 years,North,Yes,Yes,Yes,High,Excellent,No,3428,4675,2024,Owner,22.72697,75.881365
PV0226,3252804,SYN,MR 10,Apartment,907,907,2,0-5 years,East,Yes,Yes,Yes,Medium,Average,Yes,2558,2975,2022,Dealer,22.768064,75.902539
PV0227,13037356,SYN,Vijay Nagar,Apartment,2563,2563,4,10-20 years,East,Yes,Yes,Yes,High,Average,No,3119,4544,2007,Owner,22.746551,75.905221
PV0228,2927343,SYN,Rau,Independent House,1481,1481,3,10-20 years,North-East,Yes,No,Yes,Low,Average,No,1783,1938,2007,Owner,22.651822,75.813565
PV0229,4473760,SYN,Limbodi,Apartment,1717,1717,3,0-5 years,East,No,Yes,No,High,Average,Yes,1884,2056,2024,Dealer,22.816623,75.912397
PV0230,2952387,SYN,Scheme 54,Apartment,695,695,1,5-10 years,South-West,Yes,Yes,Yes,Low,Good,No,2834,3768,2018,Dealer,22.734214,75.870073
PV0231,7209487,SYN,Pardesipura,Villa,2274,2274,3,0-5 years,South-West,Yes,No,No,Medium,Good,Yes,2272,2535,2021,Owner,22.765205,75.875279
PV0232,5101076,SYN,Nipania,Apartment,1533,1533,3,10-20 years,North,Yes,Yes,Yes,Low,Average,No,2694,3347,2009,Owner,22.758087,75.922509
PV0233,5666967,SYN,Palasia,Apartment,906,906,2,5-10 years,North-East,Yes,Yes,No,Low,Poor,No,3431,5591,2017,Dealer,22.725866,75.882831
PV0234,3215069,SYN,Nipania,Apartment,872,872,2,0-5 years,South,No,Yes,Yes,Medium,Poor,No,2622,3467,2020,Owner,22.753617,75.920667
PV0235,11269103,SYN,Aerodrome Road,Villa,2288,2288,3,5-10 years,East,Yes,Yes,Yes,Low,Excellent,No,2730,3499,2016,Owner,22.719224,75.800446
PV0236,9151636,SYN,AB Road,Independent House,1773,1773,3,5-10 years,North-East,Yes,No,Yes,Low,Good,No,3041,4202,2019,Owner,22.724804,75.91083
PV0237,1931473,SYN,Niranjanpur,Builder Floor,632,632,1,5-10 years,West,Yes,Yes,Yes,Medium,Good,Yes,2643,3067,2017,Owner,22.757264,75.913324
PV0238,2372764,SYN,Rajendra Nagar,Builder Floor,1027,1027,2,20+ years,South-West,No,No,No,Low,Good,No,2585,3069,2002,Dealer,22.708254,75.868034
PV0239,5027540,SYN,Palasia,Builder Floor,1081,1081,2,5-10 years,East,Yes,Yes,No,Medium,Excellent,Yes,3407,4591,2017,Owner,22.723791,75.885354
PV0240,4780904,SYN,Bhawarkuan,Apartment,1404,1404,3,10-20 years,North,No,Yes,Yes,Medium,Average,No,2557,3373,2007,Dealer,22.698457,75.842225
PV0241,5160210,SYN,Rajendra Nagar,Villa,1495,1495,2,5-10 years,East,No,No,No,High,Average,Yes,2573,3045,2018,Owner,22.705734,75.868059
PV0242,3770191,SYN,Pipliyahana,Apartment,1092,1092,2,0-5 years,South-East,No,No,No,Medium,Excellent,Yes,2429,3059,2024,Dealer,22.698616,75.922424
PV0243,2886147,SYN,Limbodi,Builder Floor,1682,1682,3,20+ years,North,No,Yes,Yes,Medium,Poor,No,1851,2083,2002,Owner,22.818072,75.912965
PV0244,4887816,SYN,Mahalaxmi Nagar,Apartment,1596,1596,3,10-20 years,North-West,Yes,Yes,Yes,Low,Average,Yes,2568,3211,2014,Dealer,22.712315,75.85796
PV0245,7273007,SYN,Vijay Nagar,Apartment,1531,1531,3,10-20 years,East,Yes,No,No,Low,Excellent,No,3271,4834,2005,Dealer,22.742835,75.904673
PV0246,2754878,SYN,MR 10,Apartment,850,850,2,5-10 years,East,Yes,Yes,No,Medium,Average,Yes,2582,2870,2019,Owner,22.773041,75.901053
PV0247,9779479,SYN,Scheme 54,Apartment,2294,2294,4,0-5 years,South-West,No,No,Yes,Low,Average,No,2973,3715,2022,Dealer,22.727434,75.87319
PV0248,5488557,SYN,Bhawarkuan,Villa,1432,1432,2,0-5 years,North,No,Yes,Yes,Medium,Average,Yes,2517,3019,2021,Owner,22.697453,75.842041
PV0249,9090405,SYN,Scheme 54,Independent House,1911,1911,3,0-5 years,South,Yes,Yes,Yes,Medium,Good,No,2927,4009,2020,Dealer,22.732691,75.873138
PV0250,11601507,SYN,Aerodrome Road,Apartment,2559,2559,4,5-10 years,East,Yes,Yes,Yes,Low,Excellent,No,2781,3859,2017,Dealer,22.718015,75.801022
PV0251,3404926,SYN,MR 10,Independent House,1090,1090,2,20+ years,North,Yes,Yes,No,Low,Excellent,Yes,2655,3082,2003,Dealer,22.770133,75.905085
PV0252,7477085,SYN,Bicholi Mardana,Independent House,3109,3109,4,10-20 years,North,Yes,Yes,No,Medium,Good,Yes,2184,2222,2008,Dealer,22.781017,75.928917
PV0253,4351035,SYN,Aerodrome Road,Apartment,1070,1070,2,0-5 years,North-West,Yes,Yes,Yes,Low,Average,No,2758,3710,2024,Dealer,22.724434,75.802323
PV0254,15761998,SYN,AB Road,Villa,2577,2577,3,0-5 years,North,Yes,Yes,Yes,Low,Excellent,No,3034,4015,2021,Owner,22.720834,75.909766
PV0255,4574260,SYN,Tilak Nagar,Apartment,1549,1549,3,10-20 years,South,Yes,Yes,Yes,Medium,Good,No,2402,2803,2010,Dealer,22.719197,75.862843
PV0256,4664346,SYN,Super Corridor,Apartment,1290,1290,3,0-5 years,South,Yes,No,No,Medium,Good,No,2328,3118,2021,Owner,22.789933,75.902475
PV0257,14613530,SYN,Vijay Nagar,Villa,2690,2690,3,0-5 years,East,No,No,Yes,Medium,Good,No,3197,4262,2023,Dealer,22.742716,75.902881
PV0258,3626695,SYN,Silicon City,Apartment,1284,1284,3,10-20 years,East,No,No,Yes,Medium,Average,Yes,2339,2744,2013,Owner,22.738691,75.880924
PV0259,2789548,SYN,Bhawarkuan,Builder Floor,819,819,2,10-20 years,North,Yes,No,Yes,High,Average,No,2519,3308,2010,Dealer,22.693847,75.842153
PV0260,4832170,SYN,Bhawarkuan,Independent House,1374,1374,2,10-20 years,East,Yes,Yes,Yes,High,Average,No,2531,3291,2006,Dealer,22.695828,75.837883
PV0261,10490715,SYN,Vijay Nagar,Apartment,2233,2233,4,5-10 years,North-East,Yes,No,Yes,Low,Excellent,No,3257,4518,2016,Dealer,22.74749,75.900111
PV0262,6409019,SYN,Super Corridor,Villa,2068,2068,3,10-20 years,West,No,Yes,Yes,Low,Excellent,Yes,2471,2781,2010,Dealer,22.788439,75.900896
PV0263,1294999,SYN,Rau,Builder Floor,821,821,2,20+ years,East,Yes,No,Yes,Medium,Good,Yes,1750,2068,2001,Dealer,22.651082,75.810229
PV0264,3164593,SYN,Bicholi Mardana,Independent House,1237,1237,2,10-20 years,East,No,No,No,High,Average,Yes,2186,2329,2008,Owner,22.777873,75.927899
PV0265,5023942,SYN,MR 10,Independent House,1306,1306,2,10-20 years,East,Yes,No,Yes,Medium,Excellent,No,2567,3235,2006,Owner,22.772777,75.905474
PV0266,12129488,SYN,Super Corridor,Villa,4065,4065,4,10-20 years,North,No,No,Yes,Medium,Average,No,2364,2575,2005,Dealer,22.785897,75.900396
PV0267,4615257,SYN,Nipania,Independent House,1448,1448,2,5-10 years,East,Yes,No,No,High,Good,Yes,2641,3010,2018,Dealer,22.753673,75.922885
PV0268,5710920,SYN,Vijay Nagar,Apartment,1426,1426,3,20+ years,North,No,Yes,Yes,Low,Good,No,3245,4902,1999,Dealer,22.744059,75.904508
PV0269,2777515,SYN,Tilak Nagar,Apartment,978,978,2,10-20 years,East,Yes,No,Yes,Low,Average,No,2471,2946,2007,Dealer,22.720642,75.865069
PV0270,1582735,SYN,Limbodi,Plot,1229,1229,0,20+ years,South,No,No,No,High,Average,No,1888,2021,1991,Owner,22.821875,75.90957
PV0271,8178047,SYN,Scheme 54,Apartment,2203,2203,4,20+ years,South,Yes,Yes,Yes,Medium,Good,No,2887,4217,1990,Dealer,22.730083,75.870607
PV0272,7757283,SYN,Scheme 54,Apartment,1648,1648,3,0-5 years,West,Yes,No,Yes,Low,Excellent,No,2843,4050,2023,Dealer,22.731373,75.871405
PV0273,3329730,SYN,Niranjanpur,Independent House,1267,1267,2,20+ years,East,Yes,No,Yes,High,Good,No,2608,3073,2003,Dealer,22.76125,75.916699
PV0274,3651229,SYN,Nipania,Apartment,1273,1273,3,10-20 years,West,Yes,Yes,Yes,Medium,Poor,No,2763,3014,2007,Dealer,22.758103,75.917051
PV0275,7345630,SYN,Niranjanpur,Villa,1708,1708,2,0-5 years,North,No,No,Yes,Low,Poor,Yes,2533,3239,2021,Dealer,22.757515,75.913562
PV0276,3778099,SYN,AB Road,Apartment,825,825,2,0-5 years,North-East,No,Yes,Yes,Low,Good,No,3091,3997,2024,Dealer,22.719509,75.914449
PV0277,4363446,SYN,Pardesipura,Villa,1364,1364,2,5-10 years,South-East,Yes,Yes,Yes,High,Good,Yes,2334,2666,2018,Owner,22.766802,75.875065
PV0278,1994502,SYN,MR 10,Apartment,529,529,1,0-5 years,North-East,Yes,No,Yes,Medium,Poor,No,2554,2906,2024,Dealer,22.772981,75.904647
PV0279,4228754,SYN,AB Road,Apartment,970,970,2,0-5 years,East,Yes,Yes,No,Low,Good,Yes,3080,4173,2020,Dealer,22.722093,75.911473
PV0280,2868604,SYN,Mahalaxmi Nagar,Builder Floor,1087,1087,2,20+ years,East,Yes,No,Yes,Medium,Poor,No,2517,2923,2001,Dealer,22.711283,75.862562
PV0281,4195536,SYN,Niranjanpur,Apartment,1293,1293,3,5-10 years,East,No,Yes,Yes,Medium,Poor,No,2623,2966,2019,Dealer,22.762118,75.917462
PV0282,1734118,SYN,Super Corridor,Builder Floor,534,534,1,0-5 years,South,No,No,Yes,High,Poor,No,2340,3035,2020,Owner,22.789135,75.898247
PV0283,2752586,SYN,Super Corridor,Apartment,1003,1003,2,20+ years,East,No,Yes,Yes,Low,Good,No,2430,2948,1998,Dealer,22.78482,75.899995
PV0284,2109755,SYN,Niranjanpur,Apartment,572,572,1,5-10 years,South-East,Yes,Yes,Yes,Medium,Good,Yes,2629,3370,2017,Owner,22.7631,75.916566
PV0285,5027513,SYN,MR 10,Apartment,1502,1502,3,0-5 years,West,No,No,No,Medium,Good,Yes,2603,3265,2020,Owner,22.770142,75.901312
PV0286,6430955,SYN,AB Road,Apartment,1414,1414,3,0-5 years,East,Yes,Yes,Yes,Low,Excellent,No,3083,3799,2020,Dealer,22.722391,75.915212
PV0287,3281030,SYN,Banganga,Independent House,1286,1286,2,10-20 years,North-East,No,Yes,Yes,Medium,Average,No,2113,2416,2012,Owner,22.714255,75.832547
PV0288,5462483,SYN,Bhawarkuan,Apartment,1505,1505,3,0-5 years,East,No,No,Yes,High,Average,No,2522,3242,2020,Dealer,22.698802,75.839209
PV0289,18455657,SYN,Palasia,Independent House,2781,2781,4,0-5 years,North,Yes,Yes,Yes,Medium,Good,No,3566,5594,2021,Dealer,22.727576,75.88288
PV0290,5277784,SYN,Aerodrome Road,Apartment,1154,1154,3,5-10 years,East,Yes,Yes,Yes,Low,Good,No,2717,3640,2019,Owner,22.723744,75.797949
PV0291,1545640,SYN,Pipliyahana,Apartment,587,587,1,20+ years,East,Yes,No,No,High,Excellent,Yes,2564,2943,1990,Owner,22.70007,75.923631
PV0292,4688511,SYN,Sudama Nagar,Independent House,1816,1816,3,10-20 years,South,No,No,No,Low,Good,Yes,2142,2514,2006,Dealer,22.689749,75.837372
PV0293,6996335,SYN,Scheme 54,Apartment,2211,2211,4,10-20 years,West,Yes,Yes,Yes,Low,Excellent,Yes,2917,3746,2012,Dealer,22.732435,75.873067
PV0294,2036991,SYN,Kanadiya,Builder Floor,974,974,2,10-20 years,South,No,Yes,No,Low,Average,Yes,2041,2369,2012,Dealer,22.79862,75.895206
PV0295,4699727,SYN,Rajendra Nagar,Apartment,1587,1587,3,5-10 years,West,No,Yes,Yes,Low,Poor,No,2578,2868,2018,Dealer,22.704889,75.867124
PV0296,11414211,SYN,Scheme 54,Apartment,2249,2249,4,0-5 years,North,Yes,Yes,Yes,Low,Good,No,2981,4194,2023,Owner,22.732926,75.867716
PV0297,6256304,SYN,Palasia,Apartment,950,950,2,0-5 years,West,Yes,No,Yes,Low,Excellent,No,3436,5528,2021,Owner,22.724123,75.885402
PV0298,5994022,SYN,Nipania,Apartment,1637,1637,3,5-10 years,East,No,Yes,Yes,Low,Poor,Yes,2710,3362,2015,Dealer,22.756479,75.916623
PV0299,16565736,SYN,Scheme 54,Villa,3345,3345,4,5-10 years,West,Yes,No,Yes,Low,Excellent,No,2925,4116,2017,Owner,22.732057,75.867889
PV0300,4862587,SYN,Mahalaxmi Nagar,Apartment,1476,1476,3,5-10 years,South,Yes,No,Yes,Medium,Good,No,2458,3213,2018,Dealer,22.715891,75.860148
PV0301,9027552,SYN,Scheme 54,Villa,1587,1587,2,5-10 years,North-West,Yes,Yes,Yes,Low,Excellent,No,2927,4283,2016,Owner,22.733921,75.871514
PV0302,4840045,SYN,Pipliyahana,Apartment,1422,1422,3,0-5 years,North,Yes,Yes,Yes,Low,Good,Yes,2541,2933,2024,Dealer,22.699456,75.91664
PV0303,2098975,SYN,Rau,Independent House,829,829,1,5-10 years,West,Yes,Yes,Yes,High,Excellent,No,1820,2051,2015,Dealer,22.651956,75.81232
PV0304,2155796,SYN,Limbodi,Plot,1106,1106,0,0-5 years,South,No,No,Yes,Medium,Average,No,1934,2097,2020,Owner,22.820289,75.911695
PV0305,4311747,SYN,Tilak Nagar,Apartment,1486,1486,3,0-5 years,North,Yes,No,No,Medium,Average,No,2470,2882,2023,Dealer,22.721045,75.864165
PV0306,8169821,SYN,MR 10,Apartment,2294,2294,4,5-10 years,East,No,Yes,No,Medium,Good,Yes,2576,3304,2015,Owner,22.772637,75.899644
PV0307,6247515,SYN,MR 10,Villa,1554,1554,2,0-5 years,South,No,Yes,No,Medium,Average,Yes,2544,2819,2021,Owner,22.771539,75.89994
PV0308,14506362,SYN,Vijay Nagar,Villa,2482,2482,3,0-5 years,East,Yes,No,Yes,High,Excellent,Yes,3149,4648,2024,Dealer,22.742083,75.898987
PV0309,2449836,SYN,Mahalaxmi Nagar,Apartment,856,856,2,10-20 years,West,No,Yes,Yes,Medium,Average,No,2466,2831,2007,Dealer,22.714148,75.856264
PV0310,4863446,SYN,Vijay Nagar,Apartment,1153,1153,2,10-20 years,West,Yes,Yes,Yes,Low,Excellent,Yes,3150,4413,2007,Owner,22.746189,75.901153
PV0311,5581324,SYN,Vijay Nagar,Builder Floor,1051,1051,2,0-5 years,West,Yes,Yes,Yes,Medium,Good,No,3197,4851,2024,Dealer,22.746729,75.900468
PV0312,24728075,SYN,Palasia,Villa,4033,4033,4,10-20 years,East,Yes,Yes,Yes,Low,Average,No,3459,5078,2009,Owner,22.726042,75.884595
PV0313,1629269,SYN,Sudama Nagar,Apartment,613,613,1,0-5 years,North,Yes,Yes,Yes,High,Average,No,2150,2343,2024,Dealer,22.691607,75.842951
PV0314,3049475,SYN,Annapurna,Independent House,1345,1345,2,10-20 years,South,No,No,Yes,Low,Average,Yes,2361,2382,2011,Owner,22.685216,75.865903
PV0315,9549039,SYN,Mahalaxmi Nagar,Independent House,2898,2898,4,0-5 years,West,No,No,Yes,Medium,Good,No,2484,3170,2024,Owner,22.713514,75.859556
PV0316,4709744,SYN,AB Road,Apartment,1261,1261,3,10-20 years,East,Yes,Yes,Yes,Low,Excellent,Yes,3160,3887,2011,Dealer,22.724475,75.914832
PV0317,2356947,SYN,Pipliyahana,Villa,768,768,1,20+ years,North,Yes,Yes,Yes,Low,Good,No,2443,2781,2003,Owner,22.695708,75.917029
PV0318,3768433,SYN,Pardesipura,Villa,1226,1226,2,0-5 years,South,No,No,Yes,Medium,Excellent,Yes,2342,2478,2023,Dealer,22.767274,75.871532
PV0319,13807071,SYN,AB Road,Villa,2294,2294,3,0-5 years,North-East,No,No,Yes,Medium,Good,No,3025,4070,2020,Owner,22.722363,75.914562
PV0320,2348871,SYN,Banganga,Apartment,1041,1041,2,0-5 years,West,No,No,No,Low,Excellent,No,2055,2140,2022,Dealer,22.714744,75.830402
PV0321,7542634,SYN,Bicholi Hapsi,Independent House,2784,2784,4,5-10 years,East,No,No,No,High,Average,No,2051,2450,2018,Owner,22.792985,75.940232
PV0322,3490427,SYN,Aerodrome Road,Apartment,917,917,2,0-5 years,East,Yes,Yes,Yes,Low,Good,No,2769,3465,2022,Owner,22.71831,75.802016
PV0323,5243201,SYN,Bicholi Hapsi,Independent House,1901,1901,3,0-5 years,West,Yes,No,No,Medium,Good,No,2092,2359,2021,Dealer,22.787325,75.94021
PV0324,2857484,SYN,Pardesipura,Builder Floor,943,943,2,5-10 years,West,No,Yes,No,Low,Average,Yes,2274,2741,2016,Owner,22.761917,75.875831
PV0325,11961143,SYN,Vijay Nagar,Independent House,2896,2896,4,10-20 years,East,Yes,Yes,Yes,Medium,Good,No,3151,4201,2014,Dealer,22.74291,75.905098
